facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
56,LGP Red Hill Facility,WA,Landfill Gas,fuzzy,100.0,BEBGWA01,Red Hill Power Station,6056.0,4.0,Biomass,2001-04-23,,,Unsuspended,6056.0,historical_accredited,True,-31.8697832,116.042427,nominatim_postcode
57,LGP Tamala Park Facility,WA,Landfill Gas,fuzzy,100.0,BEBGWA06,Tamala Park,6056.0,5.0,Biomass,2003-12-01,,,Unsuspended,0.0,historical_accredited,True,-31.8697832,116.042427,nominatim_postcode
58,Smithfield Power Partnership,NSW,Gas,nger_only,,,,,,,,,,,,,,,,
59,Condamine Power Station,QLD,Gas,nger_only,,,,,,,,,,,,,,,,
60,Yarnima Power Station IOP,WA,Gas,nger_only,,,,,,,,,,,,,,,,
61,Bluewaters Power 1,WA,Black Coal,nger_only,,,,,,,,,,,,,,,,
62,Bluewaters Power 2,WA,Black Coal,nger_only,,,,,,,,,,,,,,,,
63,Brookfield District Energy (GX) Pty Ltd,NSW,Gas,nger_only,,,,,,,,,,,,,,,,
64,Canunda Wind Farm,SA,Wind,exact,100.0,WD00SA03,Canunda Wind Farm,5280.0,46.0,Wind,2004-11-03,,,Unsuspended,0.0,historical_accredited,True,-37.561937,140.2984239,nominatim_postcode
65,Broadwater Power Plant,NSW,Bagasse,nger_only,,,,,,,,,,,,,,,,
66,Condong Power Plant,NSW,Bagasse,nger_only,,,,,,,,,,,,,,,,
67,Daandine Power Station,QLD,Coal Seam Methane,nger_only,,,,,,,,,,,,,,,,
68,FMG Cloud Break Mine Site Power Station,WA,Diesel,nger_only,,,,,,,,,,,,,,,,
69,Norseman Gold Power Station,WA,Diesel,nger_only,,,,,,,,,,,,,,,,
70,Callide A Power Station,QLD,Black Coal,nger_only,,,,,,,,,,,,,,,,
71,Callide B Power Station,QLD,Black Coal,nger_only,,,,,,,,,,,,,,,,
72,Kogan Creek Power Station,QLD,Black Coal,nger_only,,,,,,,,,,,,,,,,
73,Wivenhoe Power Station,QLD,Hydro,exact,100.0,HYMIQL03,Wivenhoe,4306.0,4.7,Hydro,2002-11-06,,,Unsuspended,0.0,historical_accredited,True,-27.5414641,152.7204265,nominatim_postcode
74,Collgar Wind Farm,WA,Wind,exact,100.0,WD00WA15,Collgar Wind Farm,6415.0,222.0,Wind,2011-05-14,,,Unsuspended,0.0,historical_accredited,True,-31.5542196,118.4447189,nominatim_facility
75,Boco Rock Wind Farm Pty Ltd,NSW,Wind,fuzzy,100.0,WD00NS10,Boco Rock Wind Farm,2630.0,113.18,Wind,2014-09-01,,,Unsuspended,0.0,historical_accredited,True,-36.2332876,149.1402322,nominatim_postcode
